Title,Artist,Nationality,GenderMFU,DateAcquired
"Man Jumping, Pole Vaulting: Plate 165 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
Pole Vaulter (C),Eadweard J. Muybridge, American ,M,3/17/37
"""Fix"" and ""Unfix Bayonets""",Eadweard J. Muybridge, American ,M,3/17/37
"Baseball, Man Running and Picking Up Ball: Plate 287 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
"""Elberon"" Trotting, Saddled: Plate 604 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
Woman Dancing: Plate 194 from Animal Locomotion (1887),Eadweard J. Muybridge, American ,M,3/17/37
Dubonnet,A. M. Cassandre, French ,M,3/19/37
Composition,Natalia Goncharova, Russian ,F,5/11/37
Composition,Natalia Goncharova, Russian ,F,5/11/37
Composition,Natalia Goncharova, Russian ,F,5/11/37
Composition,Jean Hélion, French ,M,5/11/37
"Landscape, 47",Natalia Goncharova, Russian ,F,5/11/37
The Jungle,Marguerite Zorach, American ,F,5/11/37
Collective Suicide,David Alfaro Siqueiros, Mexican ,M,5/11/37
Winter,Eugene Berman, American ,M,5/11/37
Human Concretion,Jean (Hans) Arp, French ,M,5/11/37
Standing Youth,Wilhelm Lehmbruck, German ,M,5/11/37
Handlebar Riders,Chaim Gross, American ,M,5/11/37
Two Forms,Henry Moore, British ,M,5/11/37
Studies of Horsemen,Salvador Dalí, Spanish ,M,5/12/37
Surrealism (Surréalisme),Louis Soutter, Swiss ,M,5/15/37
Radio - Rural Electrification Administration,Lester Beall, American ,M,6/30/37
Heat-Cold - Rural Electrification Administration,Lester Beall, American ,M,6/30/37
Light - Rural Electrification Administration,Lester Beall, American ,M,6/30/37
Rural Electrification Administration,Lester Beall, American ,M,6/30/37
Wash Day - Rural Electrification Administration,Lester Beall, American ,M,6/30/37
Running Water - Rural Electrification Administration,Lester Beall, American ,M,6/30/37
Dinton Castle Near Aylesbury,E. McKnight Kauffer, American ,M,7/1/37
Lubrication by Shell,E. McKnight Kauffer, American ,M,7/1/37
"Spring In the Country, Easter",E. McKnight Kauffer, American ,M,7/1/37
Spring (Poster for London Transport),E. McKnight Kauffer, American ,M,7/1/37
Post During Lunch Hour,E. McKnight Kauffer, American ,M,7/1/37
Painting,Joan Miró, Spanish ,M,9/23/37
Deux vies,Louis Soutter, Swiss ,M,10/4/37
Die neue Baukunst als Ausdruck moderner Lebensgestaltung,Unknown Artist,,U,10/30/37
"Verwende Stets Nur Gas (Use Only Gas...Saves Work, Time, Money)",Walter Dexel, German ,M,10/30/37
"Nolde, Lichtbildervortrag, Prof. Dr. M. Sauerlandt",Jan Tschichold, Swiss ,M,10/30/37
Loheland Gymnastik-Vorführung,Walter Dexel, German ,M,10/30/37
"Ausstellung, Alte Kulturwerte In Hannoverschem Besitz",Friedrich Vordemberge-Gildewart, Dutch ,M,10/30/37
"Kultur Film Bühne, Stadthalle",Walter Dexel, German ,M,10/30/37
"Bauten der Technik: das Licht im Dienste der Werbung, Ausstellung am Adolf-Mittag-See",Walter Dexel, German ,M,10/30/37
"Ausstellung am Adolf-Mittag-See, Spitzen und Stoffe, Holz und Bernstein",Walter Dexel, German ,M,10/30/37
"Kult und Form, Ausstellung am Adolf-Mittag-See",Walter Dexel, German ,M,10/30/37
Bally Shoes,Unknown Artist,,U,10/30/37
Bally,Pierre Gauchat, Swiss ,M,10/30/37
Bally,Unknown Artist,,U,10/30/37
"Bally ""Lido"" -  Bally qualité",Unknown Artist,,U,10/30/37
Montreux-Bernese Oberland,Unknown Artist,,U,10/30/37
Sportausstellung für Faltboot und Wanderzelt,Steiner, Swiss ,U,10/30/37
Die Schweiz das Grosse Erlebnis im Flugzeug,Herbert Matter, American ,M,10/30/37
Schweiz-Suisse Glarnerland & Walensee,Herbert Matter, American ,M,10/30/37
Sierre-Montana - Valais (Suisse),Orell Füssli, Swiss ,U,10/30/37
Schweiz - Braunwald,Heinrich Steiuer,,M,10/30/37
Suisse - Poutresina,Unknown Artist,,U,10/30/37
En Route Pour La Suisse,Herbert Matter, American ,M,10/30/37
Feierspiele in Münster,Max Burchartz, German ,M,10/30/37
Fri-Ho-Di Margarine,Georg Trump, German ,M,10/30/37
Bitte Bitte Kathreiner,Kuron - Gogol, German ,U,10/30/37
"Tanzfestspiele (Dance Festival) (Poster for Dance Festival at the Second German Dance Congress, Essen)",Max Burchartz, German ,M,10/30/37
St. Moritz,Hugo Herdeg, Swiss ,M,10/30/37
Zermatt - Gornergrat,Unknown Artist,,U,10/30/37
"D P Znackadobreknihy (D P The Trademark of a Good Book) (Advertisement for Družstevní Prace [Cooperative Work], Prague)",Ladislav Sutnar, American ,M,10/30/37
V Zime Hratje Quash Tennis v Dome YWCA (In winter we play squash and tennis indoors at the YWCA),FZ, Czechoslovakian ,U,10/30/37
"Werkstoff und Werkform II. Mitteldeutsche Handwerkausstellung, Öffentliche Kundgebung Stadthalle",Walter Dexel, German ,M,10/30/37
"Edith Wolf II. Liederabend, 8 Marz",Herbert Bayer, American ,M,10/30/37
Teutoonstellung Opbouw,Paul (Geert Paul Hendrikus) Schuitema, Dutch ,M,10/30/37
