Title,Artist,Nationality,GenderMFU,DateAcquired
Untitled (Street Band),Marcel Janco, Israeli ,M,12/3/37
Near Avenue A,Niles Spencer, American ,M,12/3/37
The False Mirror,René Magritte, Belgian ,M,12/3/37
"Landscape, Milpa Alta",Jean Charlot, American ,M,12/3/37
Two Children Are Threatened by a Nightingale (Deux Enfants sont menacés par un rossignol),Max Ernst, French ,M,12/3/37
Battle of Fishes,André Masson, French ,M,12/3/37
Still Life,Le Corbusier (Charles-Édouard Jeanneret), French ,M,12/3/37
The Nymph Echo ( La Nymphe Écho),Max Ernst, French ,M,12/3/37
"Woman, Old Man, and Flower (Weib, Greis und Blume)",Max Ernst, French ,M,12/3/37
Person Throwing a Stone at a Bird,Joan Miró, Spanish ,M,12/3/37
Portrait of Gala,Salvador Dalí, Spanish ,M,12/3/37
Figure,Jacques Lipchitz, American ,M,12/3/37
Birds in an Aquarium,Jean (Hans) Arp, French ,M,12/3/37
Song of the Vowels,Jacques Lipchitz, American ,M,12/3/37
Seated Woman,Henri Laurens, French ,M,12/3/37
Relief Construction,Joan Miró, Spanish ,M,12/3/37
Head of a Woman,Henri Laurens, French ,M,12/3/37
Construction within a Sphere,Georges Vantongerloo, Belgian ,M,12/3/37
Head,Julio González, Spanish ,M,12/3/37
Lunar Asparagus,Max Ernst, French ,M,12/3/37
The Horse,Raymond Duchamp-Villon, French ,M,12/3/37
¿Que Fais-Tu Pour Empêcher Cela?,"Augusto, Robert Capa"," Spanish, American ",U,12/3/37
What Are You Doing to Prevent This?,Augusto, Spanish ,U,12/3/37
Girl before a Mirror,Pablo Picasso, Spanish ,M,12/17/37
Barricade,José Clemente Orozco, Mexican ,M,12/28/37
Zapatistas,José Clemente Orozco, Mexican ,M,12/28/37
"Untitled, Hazleton High School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Timmy Wright, Shop Class, Hazleton High School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"John Lonczynski in Mr. Joseph Rosato's Band Class, Hazleton Area High School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Spanish Teacher, Hazleton High School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Three Girls in Principal's Office, Hazleton High School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Melissa Mendel, Juniper Systems, Silicon Valley, California",Judith Joy Ross, American ,F,2/2/17
"Scott Kreims, Juniper Systems, Silicon Valley, California",Judith Joy Ross, American ,F,2/2/17
"Jodie Hoats in Home Economics Class, Hazleton Area High School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"English Teacher, H.F. Grebey Junior High School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Danielle Miller and Maria Koslop in Home Economics, H.F. Grebey Junior High School, Hazleton, Pennslyania",Judith Joy Ross, American ,F,2/2/17
"Randy Sartori, A.D. Thomas Elementary School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Danielle McGeehan, A.D. Thomas Elementary School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Virginia Merola, A.D. Thomas Elementary School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Micheal Bodner, A.D. Thomas Elementary School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Jason Bredbenner, A.D. Thomas Elementary School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Tara Schwenk, A.D. Thomas Elementary School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Mary Beth Gavio, A.D. Thomas Elementary School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Crystal Hunnsiger, A.D. Thomas Elementary School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Congressman Gus Yatron, Democrat, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Scott Filipsie, Legislative Assistant to Congressman F. James Sensenbrenner, Jr., Republican, Wisconsin",Judith Joy Ross, American ,F,2/2/17
"Joane Snow, Legislative Director to Senator Jake Garn, Republican, Utah",Judith Joy Ross, American ,F,2/2/17
"Toiya Phillips, Almira Elementary School, Cleveland, Ohio",Judith Joy Ross, American ,F,2/2/17
"Olga Ivanov, Gallagher Junior High School, Cleveland, Ohio",Judith Joy Ross, American ,F,2/2/17
"Robert Williams, Gallagher Junior High School, Cleveland, Ohio",Judith Joy Ross, American ,F,2/2/17
"Vladimir Kushnir, Gallagher Junior High School, Cleveland, Ohio",Judith Joy Ross, American ,F,2/2/17
"Brandon Brown, Almira Elementary School, Cleveland, Ohio",Judith Joy Ross, American ,F,2/2/17
"Pledging Allegiance, 8th Grade Homeroom, H.F. Grebey Junior High School, Hazelton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Algebra Test, 8th Grade, H.F. Grebey Junior High School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Laura Williams, 7th Grade Social Studies, H.F. Grebey Junior High School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Brian Ellis Presenting a Lecture on the Mafia to his 7th Grade Class, H.F. Grebey Junior High School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"At the Blackboard, 7th Grade English Class, H.F. Grebey Junior High School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
"Mrs. Lo Biano's Kindergarten Class, A.D. Thomas Elementary School, Hazleton, Pennsylvania",Judith Joy Ross, American ,F,2/2/17
Evelyn,Paz Errázuriz, Chilean ,F,2/2/17
"Bar La Sirena, Chonchi, Chiloé",Paz Errázuriz, Chilean ,F,2/2/17
"Jugglers, Santiago",Paz Errázuriz, Chilean ,F,2/2/17
"Jugglers, Santiago",Paz Errázuriz, Chilean ,F,2/2/17
"Adam's Apple, Talca",Paz Errázuriz, Chilean ,F,2/2/17
"Miss Piggy, Santiago",Paz Errázuriz, Chilean ,F,2/2/17
"Buddies, Santiago",Paz Errázuriz, Chilean ,F,2/2/17
Evelyn and Hector,Paz Errázuriz, Chilean ,F,2/2/17
Evelyn,Paz Errázuriz, Chilean ,F,2/2/17
Field in Thuringia,Aenne Biermann, German ,F,2/2/17
"""It Was So Windy in the Eiffel Tower""",Ilse Bing, American ,F,2/2/17
"Prostitutes, Amsterdam",Ilse Bing, American ,F,2/2/17
Circus Act,Brassaï (Gyula Halász), French ,M,2/2/17
Industrial District at Gelsenkirchen,Max Burchartz, German ,M,2/2/17
Young Girl,Hugo Erfurth, German ,M,2/2/17
Snowscape in Zinnwald,Hugo Erfurth, German ,M,2/2/17
Steamboat,Andreas Feininger, American ,M,2/2/17
Protoplasmic Self-Portrait,John Gutmann, American ,M,2/2/17
Peeled Field in Frost,Dr. Arvid Gutschow, German ,M,2/2/17
"George Grosz in His Studio, Berlin",Ewald Hoinkis, German ,M,2/2/17
Clausen Child and Mother,Dorothea Lange, American ,F,2/2/17
Cover design for Russland: Neues Bauen in der Welt,El Lissitzky, Russian ,M,2/2/17
Study for cover design for Amerika: Neues Bauen in der Welt,El Lissitzky, Russian ,M,2/2/17
"Sinn Department Store, Gelsenkirchen",Werner Mantz, German ,M,2/2/17
Plowing Oxen,Robert Petschow, German ,M,2/2/17
"Untitled (From the book Here Comes the New Photographer!), Mann von oben (Cover “Es Kommt del Neue Fotograf”)",Unknown photographer,,U,2/2/17
Hamadryas Baboon,Albert Renger-Patzsch, German ,M,2/2/17
"Ruhlandschaft, Haüser in Essen-Seegeroth",Albert Renger-Patzsch, German ,M,2/2/17
"Industrial View, Essen",Albert Renger-Patzsch, German ,M,2/2/17
"Bergmannshaüser in Essen, Stoppenberg",Albert Renger-Patzsch, German ,M,2/2/17
Swimmer Underwater,Leni Riefenstahl, German ,F,2/2/17
Informal Studies en Route for England,Erich Salomon, German ,M,2/2/17
"Circleville, Ohio",Ben Shahn, American ,M,2/2/17
Self-Portrait,Edward Steichen, American ,M,2/2/17
Photogram,Elfriede Stegemeyer, German ,F,2/2/17
Untitled,Elfriede Stegemeyer, German ,F,2/2/17
Smoking,Atelier Stone,,U,2/2/17
Photomontage No. 7,Friedrich Vordemberge-Gildewart, Dutch ,M,2/2/17
Equilibrium,Friedrich Vordemberge-Gildewart, Dutch ,M,2/2/17
Going to Work,Eugen Rubin, Russian ,M,2/2/17
Untitled,Paul Wolff, German ,M,2/2/17
"Main Station, Frankfurt",Paul Wolff, German ,M,2/2/17
"Avus, Berlin",Paul Wolff, German ,M,2/2/17
Landscape (Two Women),Xaviera Simmons, American ,F,2/2/17
Bloodstained Garment,Jeff Wall, Canadian ,M,2/2/17
Still-Life with Cecil Beaton,Frank Majore, American ,M,2/2/17
The Gardens at Giverny,Stephen Shore, American ,M,2/2/17
Monk,Erwin Wurm, Austrian ,M,2/2/17
Anita Ekberg surrounded by Paparazzi defends herself with bow and arrow,Marcello Geppetti, Italian ,M,2/2/17
"Index One, Composition Three",Xaviera Simmons, American ,F,2/2/17
Red (Number One),Xaviera Simmons, American ,F,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
Untitled,Judy Linn, American ,F,2/2/17
Untitled,Walker Evans, American ,M,2/2/17
Room,Craig Kalpakjian, American ,M,2/2/17
Neon Baltimore,Jack Pierson, American ,M,2/2/17
The David Court,Jack Pierson, American ,M,2/2/17
Klanswoman (Grand Khalif II),Andres Serrano, American ,M,2/2/17
"Chemistry square, armpit",Wolfgang Tillmans, German ,M,2/2/17
"ragga dancer, Kingston",Wolfgang Tillmans, German ,M,2/2/17
operation theatre I,Wolfgang Tillmans, German ,M,2/2/17
Casita,Wolfgang Tillmans, German ,M,2/2/17
"Damon, shower, head up",Wolfgang Tillmans, German ,M,2/2/17
"Macau, bridge",Wolfgang Tillmans, German ,M,2/2/17
Rose,Wolfgang Tillmans, German ,M,2/2/17
Wald (Tierra del Fuego) II,Wolfgang Tillmans, German ,M,2/2/17
Chisenhale Edition,Wolfgang Tillmans, German ,M,2/2/17
"Bhana Nath ji's home, Lunkaransar",Gauri Gill, Indian ,F,2/2/17
Edgar Thomson Plant and the Bottom,LaToya Ruby Frazier, American ,F,2/2/17
"Haus Khas. It must be marvelous for you in the West with your bars, clubs, gay liberation and all that",Sunil Gupta, Indian ,M,2/2/17
"Humayuns's Tomb, Americans--talking about AIDS and distributing condoms. Nobody believes them. They're always telling us what to do",Sunil Gupta, Indian ,M,2/2/17
"Boucher, Les Halles de Paris",Henri Cartier-Bresson, French ,M,2/2/17
"George Grosz in His Studio, Berlin",Ewald Hoinkis, German ,M,2/2/17
Self-Portrait in Light Bulb,Ewald Hoinkis, German ,M,2/2/17
"Untitled (Luminogram, Ronds de Lumiere)",François Kollar, French ,M,2/2/17
John Cobb's New 350 Miles per Hour Car,Unknown photographer,,U,2/2/17
Bernd Rosemeyer's Speed Record,Unknown photographer,,U,2/2/17
Hindenburg Disaster,Unknown photographer,,U,2/2/17
Flieger-Plane,Unknown photographer,,U,2/2/17
Oiseaux-Vogel,Jochen Lempert, German ,M,2/2/17
To Wipe the Floor for A Change,Pieter Laurens Mol, Dutch ,M,2/2/17
Water to Skin,Louise Lawler, American ,F,2/2/17
"Chambre de Madame de Pompadour, CCE.04.034, Corps Central--Attique",Robert Polidori, Canadian ,M,2/2/17
"Salle des Croisades, (19) ANR.01.038 Aile du Nord-R.d.C, Chateau de Versailles, Versailles, France",Robert Polidori, Canadian ,M,2/2/17
Triptych #6,Steve Kahn, American ,M,2/2/17
"Government School, Bikaner",Gauri Gill, Indian ,F,2/2/17
"Hanuman Nath with his daughter Hina and Nem Nath, on Holi Day in Lunkaransar",Gauri Gill, Indian ,F,2/2/17
"Izmat at Jannat's grave, Barmer",Gauri Gill, Indian ,F,2/2/17
"Jannat, Barmer",Gauri Gill, Indian ,F,2/2/17
"Jogiyon ka Dera, Lunkaransar",Gauri Gill, Indian ,F,2/2/17
"New homes after the flood, Lunkaransar",Gauri Gill, Indian ,F,2/2/17
Sita Bhabhi from Dungargarh in Lunkaransar for Holi,Gauri Gill, Indian ,F,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Untitled, Subway, New York",Bruce Davidson, American ,M,2/2/17
"Giverny, France, 1977",Stephen Shore, American ,M,2/2/17
"Giverny, France",Stephen Shore, American ,M,2/2/17
"Giverny, France, 1977",Stephen Shore, American ,M,2/2/17
"Giverny, France",Stephen Shore, American ,M,2/2/17
"Giverny, France, 1977",Stephen Shore, American ,M,2/2/17
"Giverny, France",Stephen Shore, American ,M,2/2/17
"Giverny, France",Stephen Shore, American ,M,2/2/17
Hand Catching Lead,Richard Serra, American ,M,2/8/17
Boomerang,Richard Serra, American ,M,2/8/17
Hand Lead Fulcrum,Richard Serra, American ,M,2/8/17
Hands Scraping,Richard Serra, American ,M,2/8/17
Hands Tied,Richard Serra, American ,M,2/8/17
Frame,Richard Serra, American ,M,2/8/17
Color Aid,Richard Serra, American ,M,2/8/17
Paul Revere,"Richard Serra, Joan Jonas"," American, American ",F,2/8/17
Steelmill/Stahlwerk,"Richard Serra, Clara Weyergraf"," American, German ",F,2/8/17
Tina Turning,Richard Serra, American ,M,2/8/17
Prisoner's Dilemma,"Richard Serra, Robert Bell, Carlota Schoolman", American,F,2/8/17
Anxious Automation,"Richard Serra, Joan Jonas"," American, American ",F,2/8/17
Computer Chess,Andrew Bujalski, American ,M,2/8/17
Results,Andrew Bujalski, American ,M,2/8/17
Unrelated,Joanna Hogg, British ,F,2/8/17
Archipelago,Joanna Hogg, British ,F,2/8/17
Exhibition,Joanna Hogg, British ,F,2/8/17
La Sapienza,Eugène Green, American ,M,2/8/17
The Son of Joseph,Eugène Green, American ,M,2/8/17
Don't Blink - Robert Frank,Laura Israel, American ,F,2/8/17
Fengming: A Chinese Memoir,Bing Wang, Chinese ,M,2/8/17
Behemoth,Liang Zhao, Chinese ,M,2/8/17
Fort Buchanan,Benjamin Crotty, American ,M,2/8/17
Masculin Féminin,Jean-Luc Godard, French ,M,2/8/17
Dear Jimmy,Harald V. Uccello, Austrian ,M,2/8/17
Only You,Harald V. Uccello, Austrian ,M,2/8/17
Ok Today Tomorrow,Harald V. Uccello, Austrian ,M,2/8/17
Measure Taken,Harald V. Uccello, Austrian ,M,2/8/17
Skin Deep From Outer Space,Merrill Aldighieri, American ,M,2/8/17
Alien Comic/Tom Murrin at Club 57,Merrill Aldighieri, American ,M,2/8/17
Imitators,Merrill Aldighieri, American ,M,2/8/17
Hip Hop Be Bop (Don't Stop),Merrill Aldighieri, American ,M,2/8/17
Avoid Living the Lyric,Jennifer T. Ley, American ,F,2/8/17
Such Sweet Dreams,Jennifer T. Ley, American ,F,2/8/17
Club 57 documentation: On the Town with Tony Heiberg,Tessa Hughes-Freeland, British ,F,2/8/17
"One God, One Singer",Ann Magnuson, American ,F,2/8/17
The Indoor Lighting Exercise,Ann Magnuson, American ,F,2/8/17
The Wallet Exercise,Ann Magnuson, American ,F,2/8/17
"MassArt, Club 57 and Pyramid Club Performance Archive",Stephen Tashjian, American ,M,2/8/17
Une ville à Chandigarh,Alain Tanner, Swiss ,M,2/8/17
Free Form,Clara Ianni, Brazilian ,F,2/8/17
The Pruitt-Igoe Myth,Chad Freidrichs, American ,M,2/8/17
Site Specific: Las Vegas 05,Olivo Barbieri, Italian ,M,2/8/17
Sevilla → (∞) 06,Olivo Barbieri, Italian ,M,2/8/17
Talking House: Eileen Gray and Jean Badovici,Elizabeth Lennard, American ,F,2/8/17
House: After Five Years of Living,"Charles Eames, Ray Eames"," American, American ",F,2/8/17
Glimpses of the USA,"Charles Eames, Ray Eames"," American, American ",F,2/8/17
IBM Fair Presentation #2,"Charles Eames, Ray Eames"," American, American ",F,2/8/17
IBM at the Fair,"Charles Eames, Ray Eames"," American, American ",F,2/8/17
The Fiberglass Chairs: Something of How They Get the Way They Are,"Charles Eames, Ray Eames"," American, American ",F,2/8/17
Design Q & A,"Charles Eames, Ray Eames"," American, American ",F,2/8/17
Computer Perspective,"Charles Eames, Ray Eames"," American, American ",F,2/8/17
Basket Case,Frank Henenlotter, American ,M,2/8/17
Forming,Steve Doughton, American ,M,2/8/17
Around Clown,Steve Doughton, American ,M,2/8/17
Betwixt,Steve Doughton, American ,M,2/8/17
Ferrum 5000,Steve Doughton, American ,M,2/8/17
Buoy,Steve Doughton, American ,M,2/8/17
Outrage,Ida Lupino, American ,F,2/8/17
Sand cast,Le Corbusier (Charles-Édouard Jeanneret), French ,M,2/14/17
Foldable #1,"Ada Tolla, Giuseppe Lignano"," Italian, Italian ",F,2/14/17
"Maison Curutchet, La Plata, Argentina",Le Corbusier (Charles-Édouard Jeanneret), French ,M,2/14/17
Royal Festival Hall Lounge Chair,Robin Day, British ,M,2/14/17
Low chair,Charlotte Perriand, French ,F,2/14/17
Lupiana chairs,Niko Kralj, Slovenian ,M,2/14/17
"St. Benedict Chapel, Sumvitg, from the Zumthor Project / scores and images (Sheet: I)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"St. Benedict Chapel, Sumvitg, from the Zumthor Project / scores and images (Sheet: II 1)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"St. Benedict Chapel, Sumvitg, from the Zumthor Project / scores and images (Sheet: II 2)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"St. Benedict Chapel, Sumvitg, from the Zumthor Project / scores and images (Sheet: III)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"St. Benedict Chapel, Sumvitg, from the Zumthor Project / scores and images (Sheet: IV 1)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"St. Benedict Chapel, Sumvitg, from the Zumthor Project / scores and images (Sheet: IV 2)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"The Architect's Studio, from the Zumthor Project / scores and images (Sheet: I)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"The Architect's Studio, from the Zumthor Project / scores and images (Sheet: II 1)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"The Architect's Studio, from the Zumthor Project / scores and images (Sheet: II 2)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"The Architect's Studio, from the Zumthor Project / scores and images (Sheet: III)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"The Architect's Studio, from the Zumthor Project / scores and images (Sheet: IV 1)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"The Architect's Studio, from the Zumthor Project / scores and images (Sheet: IV 2)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"The Architect's Studio, from the Zumthor Project / scores and images (Sheet: V)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Shelters for a Roman Archaeological Site, from the Zumthor Project / scores and images (Sheet: I)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Shelters for a Roman Archaeological Site, from the Zumthor Project / scores and images (Sheet: II 1)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Shelters for a Roman Archaeological Site, from the Zumthor Project / scores and images (Sheet: II 2)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Shelters for a Roman Archaeological Site, from the Zumthor Project / scores and images (Sheet: III)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Shelters for a Roman Archaeological Site, from the Zumthor Project / scores and images (Sheet: IV 1)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Shelters for a Roman Archaeological Site, from the Zumthor Project / scores and images (Sheet: IV 2)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Shelters for a Roman Archaeological Site, from the Zumthor Project / scores and images (Sheet: IV 3)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Shelters for a Roman Archaeological Site, from the Zumthor Project / scores and images (Sheet: V)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Therme Vals, from the Zumthor Project / scores and images (Sheet: I)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Therme Vals, from the Zumthor Project / scores and images (Sheet: II 1)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Therme Vals, from the Zumthor Project / scores and images (Sheet: II 2)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Therme Vals, from the Zumthor Project / scores and images (Sheet: III)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Therme Vals, from the Zumthor Project / scores and images (Sheet: IV 1)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Therme Vals, from the Zumthor Project / scores and images (Sheet: IV 2)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Therme Vals, from the Zumthor Project / scores and images (Sheet: IV 3)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Therme Vals, from the Zumthor Project / scores and images (Sheet: IV 4)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Therme Vals, from the Zumthor Project / scores and images (Sheet: IV 5)","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
Weaving,Gunta Stölzl, Swiss ,F,2/14/17
Cloverware serving set,Eva Zeisel, American ,F,2/14/17
Lidded vessel,Eva Zeisel, American ,F,2/14/17
"St. Benedict Chapel, Sumvitg, from the Zumthor Project / scores and images","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"The Architect's Studio, from the Zumthor Project / scores and images","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Shelters for a Roman Archaeological Site, from the Zumthor Project / scores and images","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
"Therme Vals, from the Zumthor Project / scores and images","Hans Danuser, Peter Zumthor"," Swiss, Swiss ",M,2/14/17
Lidded vessel,Eva Zeisel, American ,F,2/14/17
Untitled,Kai Althoff, German ,M,3/29/17
Atopolis: For Édouard Glissant,Jack Whitten, American ,M,3/29/17
Yakshi,Mrinalini Mukherjee, Indian ,F,3/29/17
"Untitled (mattress, drying rack, cheap white folding chair and two expensive black folding chairs)",Gabriel Sierra, Colombian ,M,3/29/17
Shameplex,Anicka Yi, American ,F,3/29/17
Return 77-A,Chung Chang-Sup, Korean ,M,3/29/17
Exhibition Art & Project,Joseph Kosuth, American ,M,3/30/17
"Vivian Beaumont Theatre, Lincoln Center",Ellsworth Kelly, American ,M,3/30/17
The Paris Review,Ellsworth Kelly, American ,M,3/30/17
Declaration of Authenticity No. 028 (Carte d'authenticité No. 028),Piero Manzoni, Italian ,M,3/30/17
Untitled from the series Interval (Entreacto),Tania Bruguera, Cuban ,F,3/30/17
Korner Kite: Birdman,Karl Wirsum, American ,M,3/30/17
Untitled (Study for Pressure),Robert Longo, American ,M,3/30/17
"Obligation 1, 2, 3",Lionel Maunz, American ,M,3/30/17
Subjects,Donald Baechler, American ,M,3/30/17
Poster for Manifestation 3,"BMPT, Daniel Buren, Olivier Mosset, Michel Parmentier, Niele Toroni","French, Swiss, French, Swiss ",U,3/30/17
Desiccated Sculpture (Escultura dissecada),Antoni Llena, Spanish ,M,3/30/17
Desiccated Sculpture (Escultura dissecada),Antoni Llena, Spanish ,M,3/30/17
Desiccated Sculpture (Escultura dissecada),Antoni Llena, Spanish ,M,3/30/17
Desiccated Sculpture (Escultura dissecada),Antoni Llena, Spanish ,M,3/30/17
Desiccated Sculpture (Escultura dissecada),Antoni Llena, Spanish ,M,3/30/17
"Sky-blue, Red, Green, Black and Transparent White (Blau cel, vermell, verd, negre i blanc transparent)",Antoni Llena, Spanish ,M,3/30/17
S.O.S. Smoke Signals from Underground (SOS. Senyals de fum des d'un subsòl),Antoni Llena, Spanish ,M,3/30/17
Striped Picture (Streifenbild),Charlotte Posenenske, German ,F,3/30/17
Untitled from Gaust chaba,Varvara Stepanova, Russian ,F,3/30/17
Usuyuki,Jasper Johns, American ,M,3/30/17
Target,Jasper Johns, American ,M,3/30/17
Ale Cans,Jasper Johns, American ,M,3/30/17
Ale Cans,Jasper Johns, American ,M,3/30/17
Ale Cans,Jasper Johns, American ,M,3/30/17
Ale Cans,Jasper Johns, American ,M,3/30/17
Real Kitsch #5,William Pope.L, American ,M,3/30/17
Cell Phone,Emily Jacir, American ,F,3/30/17
Ex Libris,Various Artists, Various ,U,3/30/17
Prison Notebook,Ibrahim El-Salahi, Sudanese ,M,3/30/17
Building the City,"Gauri Gill, Rajesh Vangad"," Indian, Indian ",F,3/30/17
"The Drought, The Flood","Gauri Gill, Rajesh Vangad"," Indian, Indian ",F,3/30/17
Figure in the Garden,Katharina Fritsch, German ,F,3/30/17
